configuration,trace,description,,,
ai_player:falseonline_player:trueoffline_player:true,"	at org.junit.Assert.fail(Assert.java:86)
",testChangePosition(testset.BoardTest),Board,clickedPanelTest(testset.ModelTest),3
ai_player:trueonline_player:trueoffline_player:false,"	at org.junit.Assert.fail(Assert.java:88)
",clickedPanelTest(testset.ModelTest),Model,testChangePosition(testset.BoardTest),6
ai_player:trueonline_player:trueoffline_player:false,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_2Test(testset.ModelTest),Model,"clickedPanel_3Test(testset.ModelTest)
",6
ai_player:trueonline_player:trueoffline_player:false,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_3Test(testset.ModelTest),Model,"clickedPanel_2Test(testset.ModelTest)

",6
ai_player:trueonline_player:trueoffline_player:false,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_4Test(testset.ModelTest),Model,clickedPanel_4Test(testset.ModelTest),6
ai_player:falseonline_player:falseoffline_player:true,"	at org.junit.Assert.fail(Assert.java:86)
",testChangePosition(testset.BoardTest),Board,testBlack_check_mate1(testset.BoardTest),1
ai_player:falseonline_player:falseoffline_player:true,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanelTest(testset.ModelTest),Model,testBlack_check_mate2(testset.BoardTest),1
ai_player:falseonline_player:falseoffline_player:true,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_2Test(testset.ModelTest),Model,testBlack_check_mate3(testset.BoardTest),1
ai_player:falseonline_player:falseoffline_player:true,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_3Test(testset.ModelTest),Model,,
ai_player:falseonline_player:falseoffline_player:true,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_4Test(testset.ModelTest),Model,,
ai_player:falseonline_player:trueoffline_player:false,"	at org.junit.Assert.fail(Assert.java:86)
",testChangePosition(testset.BoardTest),Board,,
ai_player:falseonline_player:trueoffline_player:false,"	at org.junit.Assert.fail(Assert.java:88)
",clickedPanelTest(testset.ModelTest),Model,,
ai_player:falseonline_player:trueoffline_player:false,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_2Test(testset.ModelTest),Model,,
ai_player:falseonline_player:trueoffline_player:false,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_3Test(testset.ModelTest),Model,,
ai_player:falseonline_player:trueoffline_player:false,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_4Test(testset.ModelTest),Model,,
ai_player:trueonline_player:falseoffline_player:false,"	at org.junit.Assert.fail(Assert.java:86)
",testBlack_check_mate1(testset.BoardTest),Board,,
ai_player:trueonline_player:falseoffline_player:false,"	at org.junit.Assert.fail(Assert.java:86)
",testBlack_check_mate2(testset.BoardTest),Board,,
ai_player:trueonline_player:falseoffline_player:false,"	at org.junit.Assert.fail(Assert.java:86)
",testBlack_check_mate3(testset.BoardTest),Board,,
ai_player:trueonline_player:falseoffline_player:false,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanelTest(testset.ModelTest),Model,,
ai_player:trueonline_player:falseoffline_player:false,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_2Test(testset.ModelTest),Model,,
ai_player:trueonline_player:falseoffline_player:false,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_3Test(testset.ModelTest),Model,,
ai_player:trueonline_player:falseoffline_player:false,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_4Test(testset.ModelTest),Model,,
ai_player:trueonline_player:falseoffline_player:true,"	at org.junit.Assert.fail(Assert.java:88)
",clickedPanelTest(testset.ModelTest),Model,,
ai_player:trueonline_player:falseoffline_player:true,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_2Test(testset.ModelTest),Model,,
ai_player:trueonline_player:falseoffline_player:true,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_3Test(testset.ModelTest),Model,,
ai_player:trueonline_player:falseoffline_player:true,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_4Test(testset.ModelTest),Model,,
ai_player:trueonline_player:trueoffline_player:true,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanelTest(testset.ModelTest),Model,,
ai_player:trueonline_player:trueoffline_player:true,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_2Test(testset.ModelTest),Model,,
ai_player:trueonline_player:trueoffline_player:true,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_3Test(testset.ModelTest),Model,,
ai_player:trueonline_player:trueoffline_player:true,"	at model.Board.whiteKingCheck(Board.java:611)
",clickedPanel_4Test(testset.ModelTest),Model,,
